Time,Signal
0.0,0.0
0.001,0.1558807747352699
0.002,0.3046925135702354
0.003,0.43997398853584285
0.004,0.5564213738741925
0.005,0.6503270911864674
0.006,0.7198661708090996
0.007,0.7652032616594268
0.008,0.788410900374357
0.009000000000000001,0.7932080311472284
0.01,0.7845452525225243
0.011,0.7680781467346464
0.012,0.7495808664403192
0.013000000000000001,0.7343578559739268
0.014,0.7267116136703864
0.015,0.7295187578871236
0.016,0.7439558970756942
0.017,0.7694019796263893
0.018000000000000002,0.8035263659083968
0.019,0.8425535319414854
0.02,0.8816778784387096
0.021,0.9155872895788237
0.022,0.9390433165495233
0.023,0.9474602077810688
0.024,0.9374250259698715
0.025,0.9071067811865476
0.026000000000000002,0.8565133138982902
0.027,0.7875695249230218
0.028,0.704008016891945
0.029,0.6110815741998223
0.03,0.5151243682287111
0.031,0.42300362243522815
0.032,0.34151425365562577
0.033,0.2767746653779463
0.034,0.23368185055182297
0.035,0.21547826604079093
0.036000000000000004,0.22347212384264445
0.037,0.2569378625948556
0.038,0.31320607121562083
0.039,0.38793374471489145
0.04,0.47552825814757665
0.041,0.5696835583189233
0.042,0.6639762488361187
0.043000000000000003,0.7524635394258425
0.044,0.8302250010233749
0.045,0.893795714448901
0.046,0.9414491675226508
0.047,0.9733030871357305
0.048,0.9912388353043389
0.049,0.9986433424585687
0.05,0.9999999999999997
0.051000000000000004,1.000369778272894
0.052000000000000005,1.004814621552204
0.053,1.0178208420704289
0.054,1.0427802351063045
0.055,1.081580966741374
0.056,1.134349500434002
0.057,1.1993699844516528
0.058,1.2731900734211443
0.059000000000000004,1.3509038130349635
0.06,1.4265847744427302
0.061,1.4938277931935597
0.062,1.5463469005608816
0.063,1.5785713887731065
0.064,1.5861819810893945
0.065,1.5665347823359446
0.066,1.5189315095359035
0.067,1.4447093886299407
0.068,1.3471415973484036
0.069,1.2311575261138954
0.07,1.1029096205211837
0.07100000000000001,0.9692284505515579
0.07200000000000001,0.8370184686596334
0.073,0.7126526143378983
0.074,0.601423940944534
0.075,0.507106781186548
0.076,0.43166918588750647
0.077,0.375163522866235
0.078,0.3358046629478564
0.079,0.31022681772712923
0.08,0.2938926261462365
0.081,0.2816132237627754
0.082,0.2681272240495969
0.083,0.2486808518743528
0.084,0.21955145112773633
0.085,0.17846224159197008
0.08600000000000001,0.12484696945975865
0.08700000000000001,0.059937925295633854
0.088,-0.0133317610709629
0.089,-0.09060230624406272
0.09,-0.1665112637726291
0.091,-0.23522581906877002
0.092,-0.2910311260446471
0.093,-0.32891677886634174
0.094,-0.34510354163765034
0.095,-0.3374581611060057
0.096,-0.3057549067455838
0.097,-0.25175736189881415
0.098,-0.17911147451160847
0.099,-0.09305925657901318
0.1,3.431486960158942e-16
0.101,0.09305925657901357
0.10200000000000001,0.179111474511609
0.10300000000000001,0.25175736189881487
0.10400000000000001,0.3057549067455845
0.105,0.33745816110600557
0.106,0.34510354163765017
0.107,0.32891677886634196
0.108,0.29103112604464754
0.109,0.23522581906876983
0.11,0.16651126377262898
0.111,0.09060230624406262
0.112,0.013331761070963413
0.113,-0.05993792529563424
0.114,-0.12484696945975923
0.115,-0.1784622415919697
0.116,-0.21955145112773658
0.117,-0.24868085187435304
0.11800000000000001,-0.26812722404959666
0.11900000000000001,-0.28161322376277503
0.12,-0.2938926261462364
0.121,-0.31022681772712835
0.122,-0.3358046629478556
0.123,-0.3751635228662347
0.124,-0.4316691858875059
0.125,-0.5071067811865472
0.126,-0.6014239409445323
0.127,-0.7126526143378978
0.128,-0.837018468659634
0.129,-0.9692284505515588
0.13,-1.1029096205211841
0.131,-1.2311575261138956
0.132,-1.347141597348406
0.133,-1.444709388629941
0.134,-1.5189315095359042
0.135,-1.5665347823359441
0.136,-1.5861819810893947
0.137,-1.5785713887731063
0.138,-1.5463469005608816
0.139,-1.4938277931935586
0.14,-1.4265847744427294
0.14100000000000001,-1.3509038130349615
0.14200000000000002,-1.2731900734211437
0.14300000000000002,-1.199369984451652
0.14400000000000002,-1.1343495004340018
0.145,-1.0815809667413745
0.146,-1.042780235106305
0.147,-1.0178208420704298
0.148,-1.0048146215522056
0.149,-1.0003697782728944
0.15,-1.0000000000000009
0.151,-0.9986433424585691
0.152,-0.9912388353043396
0.153,-0.9733030871357319
0.154,-0.9414491675226508
0.155,-0.8937957144489015
0.156,-0.8302250010233758
0.157,-0.7524635394258432
0.158,-0.6639762488361178
0.159,-0.5696835583189224
0.16,-0.47552825814757743
0.161,-0.38793374471489184
0.162,-0.31320607121562055
0.163,-0.25693786259485535
0.164,-0.22347212384264406
0.165,-0.2154782660407908
0.166,-0.2336818505518233
0.167,-0.2767746653779471
0.168,-0.34151425365562665
0.169,-0.4230036224352293
0.17,-0.5151243682287111
0.171,-0.6110815741998236
0.17200000000000001,-0.7040080168919461
0.17300000000000001,-0.7875695249230228
0.17400000000000002,-0.8565133138982907
0.17500000000000002,-0.9071067811865484
0.176,-0.9374250259698712
0.177,-0.9474602077810681
0.178,-0.9390433165495233
0.179,-0.9155872895788242
0.18,-0.8816778784387098
0.181,-0.8425535319414851
0.182,-0.803526365908396
0.183,-0.7694019796263896
0.184,-0.7439558970756943
0.185,-0.7295187578871237
0.186,-0.7267116136703865
0.187,-0.7343578559739277
0.188,-0.7495808664403186
0.189,-0.7680781467346461
0.19,-0.7845452525225249
0.191,-0.7932080311472298
0.192,-0.7884109003743571
0.193,-0.7652032616594264
0.194,-0.7198661708091
0.195,-0.650327091186468
0.196,-0.5564213738741934
0.197,-0.43997398853584124
0.198,-0.30469251357023486
0.199,-0.15588077473526957
0.2,1.964386723728472e-16
0.201,0.1558807747352725
0.202,0.3046925135702364
0.203,0.43997398853584346
